,review_no,discount_text
46210,2745112,"sample bottles. I had never used the Neutrogena samples because they were so thick and difficult to squeeze out of the bottles so I mixed four parts water to one part soap (two little bottles of soap to eight bottles worth of water filled this dispenser perfectly) and let it sit until it dissolved in the water (if you make your own foaming soap, don't stir or it will get foamy and always pour the soap into the water, not the water into the soap or it will take longer to settle). The result was a perfect, creamy Neutrogena face wash that smells heavenly and rinses off without a lot of residue. So this pump helped me use something I would have probably tossed in the trash at some point. Since I have more of those little samples, this dispenser has helped me in utilizing what I already have on hand. Less waste.<br /><br />The company also makes two other sink top dispensers with a different pump design which I will review"
46307,3045166,"sample was provided for an honest, unbiased review"
46602,1641323,Sample provided for review
46750,509485,sample quickly.     If this is priced with the other regular cereals at the store people will be walking out with this brand once they try it.  Hope they are going to add other flavors!?!      I liked the concept of free
46756,2730341,sample for review
46769,673802,sample for evaluation
46894,3339091,"sample chapter and make up my mind later. Also, the more you shop the better Amazon gets at predicting which books in its growing library you are likely to enjoy. I'm always astonished how accurate Amazon's recommendations are.<br /><br />7. Highlighting text. I use this more than the Notes feature. It's like underlining text with a pencil in paper books (I say \\""pencil\\"" because it's easy to delete the highlighting whenever you no longer need it.)<br /><br />8. It's impossible to lose a book. Even if your Kindle is stolen or you drop it in the swimming pool, Amazon remembers what books you've purchased and will allow you to upload them to your next Kindle without purchasing them again. (Yes, you will have to purchase the replacement Kindle, but not having to buy books a second time should give you real peace of mind.)<br /><br />9. Amazon archives books you've finished reading. You can delete books from your reader to make space for new books, then reload them at a later date if you want to re-read them.ely or get a free"
46915,2552045,Sample provided for an honest review
47328,3266298,free product review
47845,3133096,Sample provided for review
48235,2071465,sample I received for testing
48331,1212772,Sample For an Honest Review
48431,2578118,Sample provided for review
48441,708355,Sample provided for review
48456,2353244,sample to try for free
48955,3334408,"sample of this razor from Gillette, but I had used it long before that, and have been a fan of the ProGlide razor before the free"
48988,2125181,sample provided for testing
49522,2761697,"sample from above the arctic circle (funny, I thought they took the beast the other way in the Steve McQueen movie...). Through various bits of forgetfulness, the sample is left to thaw on the counter, and the blob gets out to wreak havoc on another small town. Lisa Clark (Satan's School for Girls' Gwynne Gilford) stops in to see Chester just as the blob is devouring him, having already finished off his family, and goes screaming to her boyfriend Bobby (Easy Rider's Robert Walker) and the cops, neither of whom believe there's a big one-celled eating machine on the loose until, of course, it's entirely too late.<br /><br />Now, I will start off by saying that, yes, this is an entirely awful movie. Technically, there is not a single redeeming quality about it. The acting sucks. The directing sucks. The lighting sucks. The special effects suck. The sets suck, which is pretty impressive given the number of location shots. The entire movie sucks, well and truly. But that is part of its considerable charm, for it pushes through the envelope of suck and achieves that cheesy greatness that so few films manage. Dick van Patten's obsessive Scoutmaster is pure comic gold. A couple of hobos who end up being lunchmeat for the blob are played by (director) Larry Hagman and an uncredited Burgess Meredith. Carol Lynley, Shelley Berman, Bud Cort, Byron Keith, Randy Stonehill (yes, that Randy Stonehill, playing a pot-crazed free"
